Comment,Designator,Footprint,LCSC,Quantity
0.1 uF,C10,C_0603_1608Metric,C14663,1
100 nF,C5,C_0603_1608Metric,C14663,1
100 uF,C9,C_0603_1608Metric,C12530,1
100k,"R7,R8,R9",R_0603_1608Metric,C25803,3
10k,"R10,R11",R_0603_1608Metric,C25744,2
10k,"R12,R13,R14,R15",R_0603_1608Metric,C25804,4
150,R5,R_0603_1608Metric,C22808,1
1K,R3,R_0603_1608Metric,C21190,1
1N5819,D1,D_SOD-123,C64885,1
2.2 uF,"C11,C12,C13,C14,C15,C8",C_0603_1608Metric,C23630,6
2k,R4,R_0603_1608Metric,C22975,1
4.7uF,"C6,C7",C_0805_2012Metric,C1779,2
5.1K,"R1,R2,R6",R_0603_1608Metric,C23186,3
BAT54C,D3,SOT-23,C22466350,1
CHRG LED,D2,LED_0805_2012Metric,C2297,1
ICM-42688-P,IC1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C54308212,1
IRLML2060,"Q1,Q3",SOT-23,C67275,2
LTC4054ES5-4.2 or STC4054GR,U4,TSOT-23-5,C262930,1
SW_Push,"BOOT1,MENU1,SELECT1,SW_PWR1,SW_RST1",EVQP2P02M,C512395,5
TPS7A03,U3,SOT-23-5,C2873330,1
USBLC6-2SC6,U5,SOT-23-6,C2687116,1
VP0610T or BSS84,Q2,SOT-23,C8492,1
~,MAX1,SOT-23-6,C79401,1
Conn_01x06_Pin,J1,PinHeader_2x03_P1.27mm_Vertical,,1
Conn_01x02_Pin,J7,PinSocket_1x02_P2.00mm_Vertical,,1
Conn_01x20,J3,687120183722-20P-Bottom,,1
BAT Terminal,J2,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x04,SCRN1,PinHeader_1x04_P2.54mm_Vertical,,1
USB_C_Receptacle,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
Conn_01x03_Pin,J6,PinHeader_1x03_P1.27mm_Vertical,,1
CD74HC4067M,U1,TSSOP-24_4.4x7.8mm_P0.65mm,,1
ESP32-S3-WROOM-1-N16R8,U2,ESP32-S3-WROOM-1-N16R8,,1
Conn_01x02,J5,PinHeader_1x02_P2.00mm_Vertical,,1
1N4007,D4,D_SOD-123F,,1
