Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, MENU1, SELECT1, SW_PWR1, SW_RST1",EVQP2P02M,5,SW_Push,C512395
C10,0603,1,0.1 uF,C14663
"C11, C8",0603,2,2.2 uF,C23630
"C12, C13, C14, C15",0603,4,100 pF,C23630
C5,0603,1,100 nF,C14663
"C6, C7",0805,2,4.7uF,C1779
C9,0603,1,100 uF,C100082
D1,D_SOD-123,1,1N5819,C64885
D2,0805,1,CHRG LED,C2297
D3,SOT-23,1,BAT54C,C22466350
D4,D_SOD-123,1,1N4007,C22440662
D5,LED_RGB_PLCC-6,1,LED_RGB,C2827305
IC1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C54308212
J1,PinHeader_2x03_P1.27mm_Vertical,1,Conn_01x06_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,BAT Terminal,
J3,687120183722-20P-Bottom,1,Conn_01x20,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle,
J5,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J7,PinSocket_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J9,CONN_503398-1892_MOL,1,Micro_SD_Card,
MAX1,TSOT-23-6,1,MAX16054,C79401
"Q1, Q3",SOT-23,2,IRLML2060,C67275
Q2,SOT-23,1,VP0610T or BSS84,C8492
"R1, R2, R6",0603,3,5.1K,C23186
"R10, R11, R12, R13, R14, R15",0603,6,10k,C25804
"R16, R17, R18",0603,3,330,C23138
R3,0603,1,1K,C21190
R4,0603,1,2k,C22975
R5,0603,1,150,C22808
"R7, R8, R9",0603,3,100k,C25803
SCRN1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,CD74HC4067M,
U2,ESP32-S3-WROOM-1-N16R8,1,ESP32-S3-WROOM-1-N16R8,
U3,SOT-23-5,1,TPS7A03,C2873330
U4,TSOT-23-5,1,LTC4054ES5-4.2 or STC4054GR,C262930
U5,SOT-23-6,1,USBLC6-2SC6,C2687116
