Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,168.925,-116.15,270.0,top
C10,157.46,-106.365,90.0,top
C11,155.96,-106.365,90.0,top
C12,168.725,-120.4,180.0,top
C13,168.725,-121.9,180.0,top
C14,168.725,-123.4,180.0,top
C15,168.725,-124.9,180.0,top
C5,162.725,-114.0,0.0,top
C6,157.55,-92.5,0.0,top
C7,161.95,-91.75,180.0,top
C8,145.0,-85.225,270.0,top
C9,143.225,-104.5,180.0,bottom
D1,144.5,-93.85,90.0,top
D2,143.5625,-79.5,0.0,top
D3,152.45,-92.4375,90.0,top
D4,143.1,-99.0,0.0,bottom
D5,152.45,-80.1,0.0,top
H1,168.5,-75.5,270.0,top
H2,168.0,-131.0,270.0,top
H3,145.0,-131.0,270.0,top
H4,145.0,-75.5,270.0,top
IC1,153.0725,-106.14,270.0,top
J1,149.73,-99.615,90.0,top
J2,169.73,-80.5,270.0,top
J3,156.525,-129.15,0.0,top
J4,170.545,-106.18,90.0,top
J5,143.0,-102.0,90.0,bottom
J6,170.4,-95.41,0.0,top
J7,143.5,-126.5,270.0,top
J9,156.55,-128.326899,180.0,bottom
MAX1,157.55,-83.3625,90.0,top
MENU1,144.425,-106.65,90.0,top
Q1,143.0625,-107.5,0.0,bottom
Q2,170.5625,-87.45,0.0,top
Q3,162.05,-83.9375,90.0,top
R1,162.675,-106.0,180.0,top
R10,147.5,-106.825,270.0,bottom
R11,147.5,-103.675,270.0,bottom
R12,165.735,-120.46,0.0,top
R13,165.735,-121.96,0.0,top
R14,165.735,-123.46,0.0,top
R15,165.735,-124.96,0.0,top
R16,151.425,-82.85,180.0,top
R17,151.475,-84.4,180.0,top
R18,151.475,-86.0,180.0,top
R2,163.925,-112.0,180.0,top
R3,157.675,-78.5,0.0,top
R4,142.0,-85.0,270.0,top
R5,143.675,-81.5,0.0,top
R6,162.675,-115.5,0.0,top
R7,171.0,-83.0,0.0,top
R8,171.175,-84.5,180.0,top
R9,153.175,-87.5,0.0,top
SCRN1,157.73,-102.0,270.0,top
SELECT1,144.425,-114.15,90.0,top
SW_PWR1,156.425,-73.85,270.0,top
SW_RST1,144.925,-121.65,90.0,top
U1,154.335,-114.64,0.0,bottom
U2,156.75,-87.58145,0.0,bottom
U3,159.8625,-89.0,0.0,top
U4,143.55,-88.8625,270.0,top
U5,162.6125,-108.95,0.0,top
